DATE,Measure,Value
19250501,TMIN,44
19250501,TMAX,68
19250501,TOBS,55
19250502,TMIN,33
19250502,TMAX,64
19250502,TOBS,62
19250503,TMIN,41
19250503,TMAX,71
19250503,TOBS,66
19250504,TMIN,41
19250504,TMAX,66
19250504,TOBS,53
19250505,TMIN,36
19250505,TMAX,60
19250505,TOBS,58
19250506,TMIN,38
19250506,TMAX,56
19250506,TOBS,55
19250507,TMIN,32
19250507,TMAX,64
19250507,TOBS,53
19250508,TMIN,32
19250508,TMAX,70
19250508,TOBS,66
19250509,TMIN,50
19250509,TMAX,68
19250509,TOBS,63
19250510,TMIN,58
19250510,TMAX,68
19250510,TOBS,64
19250511,TMIN,50
19250511,TMAX,64
19250511,TOBS,58
19250512,TMIN,36
19250512,TMAX,72
19250512,TOBS,58
19250513,TMIN,38
19250513,TMAX,72
19250513,TOBS,69
19250514,TMIN,43
19250514,TMAX,74
19250514,TOBS,69
19250515,TMIN,43
19250515,TMAX,76
19250515,TOBS,63
19250516,TMIN,48
19250516,TMAX,86
19250516,TOBS,71
19250517,TMIN,47
19250517,TMAX,76
19250517,TOBS,51
19250518,TMIN,38
19250518,TMAX,66
19250518,TOBS,61
19250519,TMIN,37
19250519,TMAX,77
19250519,TOBS,64
19250520,TMIN,40
19250520,TMAX,74
19250520,TOBS,71
19250521,TMIN,51
19250521,TMAX,87
19250521,TOBS,75
19250522,TMIN,53
19250522,TMAX,91
19250522,TOBS,87
19250523,TMIN,58
19250523,TMAX,91
19250523,TOBS,86
19250524,TMIN,60
19250524,TMAX,86
19250524,TOBS,72
19250525,TMIN,29
19250525,TMAX,73
19250525,TOBS,53
19250526,TMIN,32
19250526,TMAX,61
19250526,TOBS,60
19250527,TMIN,32
19250527,TMAX,70
19250527,TOBS,66
19250528,TMIN,41
19250528,TMAX,79
19250528,TOBS,76
19250529,TMIN,53
19250529,TMAX,79
19250529,TOBS,74
19250530,TMIN,48
19250530,TMAX,85
19250530,TOBS,76
19250531,TMIN,NA
19250531,TMAX,NA
19250531,TOBS,70
19250601,TMIN,51
19250601,TMAX,93
19250601,TOBS,85
19250602,TMIN,58
19250602,TMAX,92
19250602,TOBS,83
19250603,TMIN,59
19250603,TMAX,93
19250603,TOBS,89
19250604,TMIN,61
19250604,TMAX,97
19250604,TOBS,91
19250605,TMIN,61
19250605,TMAX,97
19250605,TOBS,85
19250606,TMIN,62
19250606,TMAX,93
19250606,TOBS,78
19250607,TMIN,63
19250607,TMAX,89
19250607,TOBS,85
19250608,TMIN,62
19250608,TMAX,98
19250608,TOBS,77
19250609,TMIN,59
19250609,TMAX,90
19250609,TOBS,84
19250610,TMIN,49
19250610,TMAX,84
19250610,TOBS,73
19250611,TMIN,47
19250611,TMAX,96
19250611,TOBS,77
19250612,TMIN,51
19250612,TMAX,95
19250612,TOBS,89
19250613,TMIN,68
19250613,TMAX,84
19250613,TOBS,75
19250614,TMIN,65
19250614,TMAX,92
19250614,TOBS,78
19250615,TMIN,66
19250615,TMAX,96
19250615,TOBS,80
19250616,TMIN,67
19250616,TMAX,85
19250616,TOBS,72
19250617,TMIN,60
19250617,TMAX,85
19250617,TOBS,79
19250618,TMIN,69
19250618,TMAX,85
19250618,TOBS,82
19250619,TMIN,57
19250619,TMAX,84
19250619,TOBS,82
19250620,TMIN,58
19250620,TMAX,89
19250620,TOBS,74
19250621,TMIN,59
19250621,TMAX,91
19250621,TOBS,82
19250622,TMIN,58
19250622,TMAX,89
19250622,TOBS,79
19250623,TMIN,62
19250623,TMAX,80
19250623,TOBS,74
19250624,TMIN,59
19250624,TMAX,82
19250624,TOBS,76
19250625,TMIN,63
19250625,TMAX,77
19250625,TOBS,66
19250626,TMIN,53
19250626,TMAX,80
19250626,TOBS,69
19250627,TMIN,52
19250627,TMAX,83
19250627,TOBS,72
19250628,TMIN,56
19250628,TMAX,86
19250628,TOBS,80
19250629,TMIN,65
19250629,TMAX,80
19250629,TOBS,76
19250630,TMIN,55
19250630,TMAX,80
19250630,TOBS,75
19250701,TMIN,48
19250701,TMAX,88
